system loop timestamp,,,,,pressure sensor measurement timestamp,,,,,pressure sensor measurement voltage (V)
Hr,Min,Sec,mSec,,Hr,Min,Sec,mSec,,V
11,47,07,.701,,11,47,07,.703,,0.103167
11,47,07,.703,,11,47,08,.703,,0.103167
11,47,08,.702,,11,47,09,.703,,0.103167
11,47,09,.703,,11,47,10,.703,,0.103167
11,47,10,.702,,11,47,11,.703,,0.103167
11,47,11,.702,,11,47,12,.703,,0.103167
11,47,12,.703,,11,47,13,.703,,0.103167
11,47,13,.703,,11,47,14,.703,,0.103167
11,47,14,.702,,11,47,15,.703,,0.103167
11,47,15,.703,,11,47,16,.703,,0.103167
11,47,16,.703,,11,47,17,.703,,0.103167
11,47,17,.702,,11,47,18,.703,,0.113358
11,47,18,.703,,11,47,19,.703,,0.123550
11,47,19,.703,,11,47,20,.703,,0.123550
11,47,20,.702,,11,47,21,.703,,0.123550
11,47,21,.701,,11,47,22,.703,,0.123550
11,47,22,.702,,11,47,23,.703,,0.133742
11,47,23,.702,,11,47,24,.703,,0.133742
11,47,24,.702,,11,47,25,.703,,0.143933
11,47,25,.701,,11,47,26,.703,,0.143933
11,47,26,.702,,11,47,27,.703,,0.154125
11,47,27,.703,,11,47,28,.703,,0.154125
11,47,28,.702,,11,47,29,.703,,0.164316
11,47,29,.703,,11,47,30,.703,,0.174508
11,47,30,.702,,11,47,31,.703,,0.174508
11,47,31,.702,,11,47,32,.703,,0.184700
11,47,32,.702,,11,47,33,.703,,0.184700
11,47,33,.702,,11,47,34,.703,,0.194891
11,47,34,.702,,11,47,35,.703,,0.205083
11,47,35,.702,,11,47,36,.703,,0.215275
11,47,36,.702,,11,47,37,.703,,0.225466
11,47,37,.702,,11,47,38,.703,,0.245850
11,47,38,.702,,11,47,39,.703,,0.256041
11,47,39,.702,,11,47,40,.703,,0.266233
11,47,40,.703,,11,47,41,.703,,0.276425
11,47,41,.703,,11,47,42,.703,,0.276425
11,47,42,.702,,11,47,43,.703,,0.296808
11,47,43,.701,,11,47,44,.703,,0.307000
11,47,44,.702,,11,47,45,.703,,0.327383
11,47,45,.702,,11,47,46,.703,,0.337575
11,47,46,.703,,11,47,47,.703,,0.347766
11,47,47,.702,,11,47,48,.703,,0.357958
11,47,48,.703,,11,47,49,.703,,0.368150
11,47,49,.702,,11,47,50,.703,,0.378341
11,47,50,.703,,11,47,51,.703,,0.388533
11,47,51,.702,,11,47,52,.703,,0.398725
11,47,52,.703,,11,47,53,.703,,0.408916
11,47,53,.702,,11,47,54,.703,,0.429300
11,47,54,.702,,11,47,55,.703,,0.439491
11,47,55,.702,,11,47,56,.703,,0.449683
11,47,56,.702,,11,47,57,.703,,0.459875
11,47,57,.702,,11,47,58,.703,,0.470066
11,47,58,.703,,11,47,59,.703,,0.490450
11,47,59,.704,,11,48,00,.703,,0.500641
11,48,00,.701,,11,48,01,.703,,0.510833
11,48,01,.702,,11,48,02,.703,,0.521025
11,48,02,.703,,11,48,03,.703,,0.531216
11,48,03,.703,,11,48,04,.703,,0.541408
11,48,04,.703,,11,48,05,.703,,0.551600
11,48,05,.703,,11,48,06,.703,,0.561791
11,48,06,.703,,11,48,07,.703,,0.571983
11,48,07,.703,,11,48,08,.703,,0.582175
11,48,08,.703,,11,48,09,.703,,0.561791
11,48,09,.703,,11,48,10,.703,,0.551600
11,48,10,.702,,11,48,11,.703,,0.551600
11,48,11,.703,,11,48,12,.703,,0.541408
11,48,12,.702,,11,48,13,.703,,0.541408
11,48,13,.702,,11,48,14,.703,,0.531216
11,48,14,.702,,11,48,15,.703,,0.541408
11,48,15,.703,,11,48,16,.703,,0.531216
11,48,16,.702,,11,48,17,.703,,0.531216
11,48,17,.703,,11,48,18,.703,,0.531216
11,48,18,.702,,11,48,19,.703,,0.531216
11,48,19,.703,,11,48,20,.703,,0.531216
11,48,20,.703,,11,48,21,.703,,0.531216
11,48,21,.702,,11,48,22,.703,,0.531216
11,48,22,.702,,11,48,23,.703,,0.531216
11,48,23,.702,,11,48,24,.703,,0.531216
11,48,24,.703,,11,48,25,.703,,0.541408
11,48,25,.703,,11,48,26,.703,,0.541408
11,48,26,.702,,11,48,27,.703,,0.541408
11,48,27,.703,,11,48,28,.703,,0.541408
11,48,28,.702,,11,48,29,.703,,0.541408
11,48,29,.703,,11,48,30,.703,,0.541408
11,48,30,.703,,11,48,31,.703,,0.541408
11,48,31,.703,,11,48,32,.703,,0.541408
11,48,32,.702,,11,48,33,.703,,0.551600
11,48,33,.703,,11,48,34,.703,,0.551600
11,48,34,.702,,11,48,35,.703,,0.551600
11,48,35,.702,,11,48,36,.703,,0.551600
11,48,36,.701,,11,48,37,.703,,0.551600
11,48,37,.703,,11,48,38,.703,,0.561791
11,48,38,.702,,11,48,39,.703,,0.561791
11,48,39,.702,,11,48,40,.703,,0.571983
11,48,40,.702,,11,48,41,.703,,0.571983
11,48,41,.702,,11,48,42,.703,,0.571983
11,48,42,.702,,11,48,43,.703,,0.571983
11,48,43,.703,,11,48,44,.703,,0.582175
11,48,44,.703,,11,48,45,.703,,0.571983
11,48,45,.702,,11,48,46,.703,,0.582175
11,48,46,.702,,11,48,47,.703,,0.582175
11,48,47,.702,,11,48,48,.703,,0.582175
11,48,48,.702,,11,48,49,.703,,0.582175
11,48,49,.702,,11,48,50,.703,,0.592366
11,48,50,.702,,11,48,51,.703,,0.592366
11,48,51,.702,,11,48,52,.703,,0.592366
11,48,52,.702,,11,48,53,.703,,0.592366
11,48,53,.703,,11,48,54,.703,,0.592366
11,48,54,.703,,11,48,55,.703,,0.592366
11,48,55,.704,,11,48,56,.703,,0.592366
11,48,56,.702,,11,48,57,.703,,0.602558
11,48,57,.702,,11,48,58,.703,,0.602558
11,48,58,.702,,11,48,59,.703,,0.592366
11,48,59,.702,,11,49,00,.703,,0.592366
11,49,00,.703,,11,49,01,.703,,0.592366
11,49,01,.703,,11,49,02,.703,,0.592366
11,49,02,.702,,11,49,03,.703,,0.582175
11,49,03,.703,,11,49,04,.703,,0.582175
11,49,04,.703,,11,49,05,.703,,0.582175
11,49,05,.702,,11,49,06,.703,,0.582175
11,49,06,.702,,11,49,07,.703,,0.582175
11,49,07,.703,,11,49,08,.703,,0.571983
11,49,08,.703,,11,49,09,.703,,0.561791
11,49,09,.702,,11,49,10,.703,,0.561791
11,49,10,.703,,11,49,11,.703,,0.551600
11,49,11,.702,,11,49,12,.703,,0.551600
11,49,12,.704,,11,49,13,.703,,0.541408
11,49,13,.703,,11,49,14,.703,,0.541408
11,49,14,.703,,11,49,15,.703,,0.531216
11,49,15,.702,,11,49,16,.703,,0.521025
11,49,16,.702,,11,49,17,.703,,0.521025
11,49,17,.702,,11,49,18,.703,,0.521025
11,49,18,.702,,11,49,19,.703,,0.510833
11,49,19,.702,,11,49,20,.703,,0.500641
11,49,20,.702,,11,49,21,.703,,0.500641
11,49,21,.702,,11,49,22,.703,,0.490450
11,49,22,.702,,11,49,23,.703,,0.490450
11,49,23,.703,,11,49,24,.703,,0.480258
11,49,24,.703,,11,49,25,.703,,0.480258
11,49,25,.702,,11,49,26,.703,,0.470066
11,49,26,.702,,11,49,27,.703,,0.459875
11,49,27,.702,,11,49,28,.703,,0.459875
11,49,28,.702,,11,49,29,.703,,0.449683
11,49,29,.704,,11,49,30,.703,,0.449683
11,49,30,.704,,11,49,31,.703,,0.439491
11,49,31,.703,,11,49,32,.703,,0.429300
11,49,32,.705,,11,49,33,.703,,0.429300
11,49,33,.704,,11,49,34,.703,,0.429300
11,49,34,.702,,11,49,35,.703,,0.419108
11,49,35,.702,,11,49,36,.703,,0.408916
11,49,36,.702,,11,49,37,.703,,0.408916
11,49,37,.702,,11,49,38,.703,,0.408916
11,49,38,.702,,11,49,39,.703,,0.388533
11,49,39,.702,,11,49,40,.703,,0.388533
11,49,40,.703,,11,49,41,.703,,0.378341
11,49,41,.702,,11,49,42,.703,,0.378341
11,49,42,.703,,11,49,43,.703,,0.378341
11,49,43,.703,,11,49,44,.703,,0.368150
11,49,44,.703,,11,49,45,.703,,0.368150
11,49,45,.703,,11,49,46,.703,,0.357958
11,49,46,.702,,11,49,47,.703,,0.347766
11,49,47,.703,,11,49,48,.703,,0.337575
11,49,48,.704,,11,49,49,.703,,0.337575
11,49,49,.705,,11,49,50,.703,,0.337575
11,49,50,.703,,11,49,51,.703,,0.327383
11,49,51,.703,,11,49,52,.703,,0.327383
11,49,52,.702,,11,49,53,.703,,0.317191
11,49,53,.702,,11,49,54,.703,,0.317191
11,49,54,.703,,11,49,55,.703,,0.307000
11,49,55,.703,,11,49,56,.703,,0.307000
11,49,56,.703,,11,49,57,.703,,0.296808
11,49,57,.702,,11,49,58,.703,,0.296808
11,49,58,.702,,11,49,59,.703,,0.286616
11,49,59,.702,,11,50,00,.703,,0.276425
11,50,00,.703,,11,50,01,.703,,0.276425
11,50,01,.703,,11,50,02,.703,,0.276425
11,50,02,.702,,11,50,03,.703,,0.266233
11,50,03,.702,,11,50,04,.703,,0.266233
11,50,04,.704,,11,50,05,.703,,0.266233
11,50,05,.704,,11,50,06,.703,,0.256041
11,50,06,.704,,11,50,07,.703,,0.245850
11,50,07,.704,,11,50,08,.703,,0.245850
11,50,08,.704,,11,50,09,.703,,0.245850
11,50,09,.704,,11,50,10,.703,,0.235658
11,50,10,.702,,11,50,11,.703,,0.235658
11,50,11,.702,,11,50,12,.703,,0.225466
11,50,12,.703,,11,50,13,.703,,0.225466
11,50,13,.703,,11,50,14,.703,,0.225466
11,50,14,.703,,11,50,15,.703,,0.215275
11,50,15,.702,,11,50,16,.703,,0.215275
11,50,16,.703,,11,50,17,.703,,0.205083
11,50,17,.702,,11,50,18,.703,,0.205083
11,50,18,.703,,11,50,19,.703,,0.205083
11,50,19,.703,,11,50,20,.703,,0.194891
11,50,20,.702,,11,50,21,.703,,0.184700
11,50,21,.703,,11,50,22,.703,,0.184700
11,50,22,.703,,11,50,23,.703,,0.184700
11,50,23,.704,,11,50,24,.703,,0.184700
11,50,24,.703,,11,50,25,.703,,0.174508
11,50,25,.704,,11,50,26,.703,,0.174508
11,50,26,.703,,11,50,27,.703,,0.174508
11,50,27,.703,,11,50,28,.703,,0.164316
11,50,28,.703,,11,50,29,.703,,0.164316
11,50,29,.704,,11,50,30,.703,,0.154125
11,50,30,.702,,11,50,31,.703,,0.164316
11,50,31,.702,,11,50,32,.703,,0.154125
11,50,32,.703,,11,50,33,.703,,0.143933
11,50,33,.702,,11,50,34,.703,,0.143933
11,50,34,.702,,11,50,35,.703,,0.143933
11,50,35,.702,,11,50,36,.703,,0.143933
11,50,36,.702,,11,50,37,.703,,0.133742
11,50,37,.702,,11,50,38,.703,,0.133742
11,50,38,.702,,11,50,39,.703,,0.123550
11,50,39,.703,,11,50,40,.703,,0.123550
11,50,40,.704,,11,50,41,.703,,0.123550
11,50,41,.704,,11,50,42,.703,,0.123550
11,50,42,.704,,11,50,43,.703,,0.113358
