system loop timestamp,,,,,pressure sensor measurement timestamp,,,,,pressure sensor measurement voltage (V)
Hr,Min,Sec,mSec,,Hr,Min,Sec,mSec,,V
11,47,07,.703,,11,47,07,.724,,0.160824
11,47,07,.724,,11,47,08,.724,,0.160824
11,47,08,.703,,11,47,09,.724,,0.160824
11,47,09,.703,,11,47,10,.724,,0.160824
11,47,10,.704,,11,47,11,.724,,0.150632
11,47,11,.704,,11,47,12,.724,,0.160824
11,47,12,.705,,11,47,13,.724,,0.160824
11,47,13,.704,,11,47,14,.724,,0.160824
11,47,14,.704,,11,47,15,.724,,0.150632
11,47,15,.705,,11,47,16,.724,,0.171017
11,47,16,.704,,11,47,17,.724,,0.160824
11,47,17,.704,,11,47,18,.724,,0.171017
11,47,18,.705,,11,47,19,.724,,0.160824
11,47,19,.705,,11,47,20,.724,,0.171017
11,47,20,.705,,11,47,21,.724,,0.171017
11,47,21,.704,,11,47,22,.724,,0.171017
11,47,22,.704,,11,47,23,.724,,0.171017
11,47,23,.705,,11,47,24,.724,,0.181209
11,47,24,.705,,11,47,25,.724,,0.181209
11,47,25,.705,,11,47,26,.724,,0.191401
11,47,26,.704,,11,47,27,.724,,0.181209
11,47,27,.706,,11,47,28,.724,,0.191401
11,47,28,.704,,11,47,29,.724,,0.191401
11,47,29,.704,,11,47,30,.724,,0.221979
11,47,30,.704,,11,47,31,.724,,0.232171
11,47,31,.704,,11,47,32,.724,,0.252556
11,47,32,.704,,11,47,33,.724,,0.272941
11,47,33,.704,,11,47,34,.724,,0.283134
11,47,34,.704,,11,47,35,.724,,0.303518
11,47,35,.704,,11,47,36,.724,,0.323903
11,47,36,.704,,11,47,37,.724,,0.334096
11,47,37,.704,,11,47,38,.724,,0.344288
11,47,38,.704,,11,47,39,.724,,0.354481
11,47,39,.704,,11,47,40,.724,,0.374866
11,47,40,.705,,11,47,41,.724,,0.385058
11,47,41,.705,,11,47,42,.724,,0.395250
11,47,42,.703,,11,47,43,.724,,0.405443
11,47,43,.704,,11,47,44,.724,,0.425828
11,47,44,.704,,11,47,45,.724,,0.446213
11,47,45,.704,,11,47,46,.724,,0.456405
11,47,46,.705,,11,47,47,.724,,0.466598
11,47,47,.705,,11,47,48,.724,,0.476790
