system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,count
11,47,07,.688,0.000000
11,47,08,.688,0.000000
11,47,09,.688,0.000000
11,47,10,.689,0.000000
11,47,11,.689,0.000000
11,47,12,.689,0.000000
11,47,13,.689,0.000000
11,47,14,.689,0.000000
11,47,15,.689,0.000000
11,47,16,.689,0.000000
11,47,17,.689,0.000000
11,47,18,.689,0.000000
11,47,19,.688,0.000000
11,47,20,.688,0.000000
11,47,21,.688,0.000000
11,47,22,.688,0.000000
11,47,23,.688,0.000000
11,47,24,.688,0.000000
11,47,25,.688,0.000000
11,47,26,.688,0.000000
11,47,27,.689,0.000000
11,47,28,.689,0.000000
11,47,29,.689,0.000000
11,47,30,.689,0.000000
11,47,31,.689,0.000000
11,47,32,.689,0.000000
11,47,33,.689,0.000000
11,47,34,.689,0.000000
11,47,35,.689,0.000000
11,47,36,.689,0.000000
11,47,37,.688,0.000000
11,47,38,.688,0.000000
11,47,39,.688,0.000000
11,47,40,.688,0.000000
11,47,41,.688,0.000000
11,47,42,.688,0.000000
11,47,43,.688,0.000000
11,47,44,.689,0.000000
11,47,45,.689,0.000000
11,47,46,.689,0.000000
11,47,47,.689,0.000000
11,47,48,.689,0.000000
11,47,49,.689,0.000000
11,47,50,.689,0.000000
11,47,51,.689,0.000000
11,47,52,.689,0.000000
11,47,53,.689,0.000000
11,47,54,.688,0.000000
11,47,55,.688,0.000000
11,47,56,.688,0.000000
11,47,57,.688,0.000000
11,47,58,.688,0.000000
11,47,59,.688,0.000000
11,48,00,.688,0.000000
11,48,01,.688,0.000000
11,48,02,.689,0.000000
11,48,03,.689,0.000000
11,48,04,.689,0.000000
11,48,05,.689,0.000000
11,48,06,.689,0.000000
11,48,07,.689,0.000000
11,48,08,.689,7.000000
11,48,09,.689,31.000000
11,48,10,.689,55.000000
11,48,11,.689,79.000000
11,48,12,.688,102.000000
11,48,13,.688,126.000000
11,48,14,.688,149.000000
11,48,15,.688,172.000000
11,48,16,.688,195.000000
11,48,17,.688,219.000000
11,48,18,.688,242.000000
11,48,19,.689,265.000000
11,48,20,.689,288.000000
11,48,21,.689,311.000000
11,48,22,.689,334.000000
11,48,23,.689,357.000000
11,48,24,.689,381.000000
11,48,25,.689,404.000000
11,48,26,.689,427.000000
11,48,27,.689,450.000000
11,48,28,.689,473.000000
11,48,29,.688,496.000000
11,48,30,.688,520.000000
11,48,31,.688,543.000000
11,48,32,.688,566.000000
11,48,33,.688,590.000000
11,48,34,.688,613.000000
11,48,35,.688,637.000000
11,48,36,.688,660.000000
11,48,37,.689,684.000000
11,48,38,.689,707.000000
11,48,39,.689,731.000000
11,48,40,.689,755.000000
11,48,41,.689,779.000000
11,48,42,.689,803.000000
11,48,43,.689,827.000000
11,48,44,.689,851.000000
11,48,45,.689,875.000000
11,48,46,.689,899.000000
11,48,47,.688,923.000000
11,48,48,.688,947.000000
11,48,49,.688,971.000000
11,48,50,.688,995.000000
11,48,51,.688,1020.000000
11,48,52,.688,1044.000000
11,48,53,.688,1069.000000
11,48,54,.689,1093.000000
11,48,55,.689,1118.000000
11,48,56,.689,1142.000000
11,48,57,.689,1167.000000
11,48,58,.689,1192.000000
11,48,59,.689,1216.000000
11,49,00,.689,1240.000000
11,49,01,.689,1265.000000
11,49,02,.689,1290.000000
11,49,03,.689,1314.000000
11,49,04,.688,1338.000000
11,49,05,.688,1362.000000
11,49,06,.688,1386.000000
11,49,07,.688,1410.000000
11,49,08,.688,1435.000000
11,49,09,.688,1458.000000
11,49,10,.688,1482.000000
