system timestamp,,,,total pulse counted since start
11,49,11,.688,1506.000000
11,49,12,.689,1530.000000
11,49,13,.689,1553.000000
11,49,14,.689,1576.000000
11,49,15,.689,1600.000000
11,49,16,.689,1622.000000
11,49,17,.689,1645.000000
11,49,18,.689,1668.000000
11,49,19,.689,1691.000000
11,49,20,.689,1713.000000
11,49,21,.689,1736.000000
11,49,22,.688,1758.000000
11,49,23,.688,1780.000000
11,49,24,.688,1802.000000
11,49,25,.688,1824.000000
11,49,26,.688,1845.000000
11,49,27,.688,1867.000000
11,49,28,.688,1888.000000
11,49,29,.689,1909.000000
11,49,30,.689,1931.000000
11,49,31,.689,1951.000000
11,49,32,.689,1972.000000
11,49,33,.689,1993.000000
11,49,34,.689,2013.000000
11,49,35,.689,2034.000000
11,49,36,.689,2054.000000
11,49,37,.689,2074.000000
11,49,38,.689,2094.000000
11,49,39,.688,2114.000000
11,49,40,.688,2133.000000
11,49,41,.688,2153.000000
11,49,42,.688,2172.000000
11,49,43,.688,2191.000000
11,49,44,.688,2210.000000
11,49,45,.688,2229.000000
11,49,46,.688,2248.000000
11,49,47,.689,2266.000000
11,49,48,.689,2285.000000
11,49,49,.689,2303.000000
11,49,50,.689,2321.000000
11,49,51,.689,2339.000000
11,49,52,.689,2357.000000
11,49,53,.689,2375.000000
11,49,54,.689,2392.000000
11,49,55,.689,2410.000000
11,49,56,.689,2427.000000
11,49,57,.688,2444.000000
11,49,58,.688,2461.000000
11,49,59,.688,2478.000000
11,50,00,.688,2495.000000
11,50,01,.688,2512.000000
11,50,02,.688,2528.000000
11,50,03,.688,2544.000000
11,50,04,.689,2560.000000
11,50,05,.689,2576.000000
11,50,06,.689,2592.000000
11,50,07,.689,2608.000000
11,50,08,.689,2623.000000
11,50,09,.689,2639.000000
11,50,10,.689,2654.000000
11,50,11,.689,2669.000000
11,50,12,.689,2684.000000
11,50,13,.689,2699.000000
11,50,14,.688,2714.000000
11,50,15,.688,2729.000000
11,50,16,.688,2743.000000
11,50,17,.688,2757.000000
11,50,18,.688,2772.000000
11,50,19,.688,2786.000000
11,50,20,.688,2799.000000
11,50,21,.688,2813.000000
11,50,22,.689,2827.000000
11,50,23,.689,2840.000000
11,50,24,.689,2853.000000
11,50,25,.689,2867.000000
11,50,26,.689,2880.000000
11,50,27,.689,2892.000000
11,50,28,.689,2905.000000
11,50,29,.689,2918.000000
11,50,30,.689,2930.000000
11,50,31,.689,2942.000000
11,50,32,.688,2954.000000
11,50,33,.688,2966.000000
11,50,34,.688,2978.000000
11,50,35,.688,2990.000000
11,50,36,.688,3001.000000
11,50,37,.688,3013.000000
11,50,38,.688,3024.000000
11,50,39,.689,3035.000000
11,50,40,.689,3046.000000
11,50,41,.689,3057.000000
11,50,42,.689,3068.000000
11,50,43,.689,3078.000000
