system loop timestamp,,,,,pressure sensor measurement timestamp,,,,,pressure sensor measurement voltage (V)
Hr,Min,Sec,mSec,,Hr,Min,Sec,mSec,,V
11,49,10,.703,,11,49,11,.724,,0.768201
11,49,11,.704,,11,49,12,.724,,0.758005
11,49,12,.705,,11,49,13,.724,,0.747809
11,49,13,.705,,11,49,14,.724,,0.747809
11,49,14,.705,,11,49,15,.724,,0.737613
11,49,15,.704,,11,49,16,.724,,0.727417
11,49,16,.704,,11,49,17,.724,,0.717221
11,49,17,.705,,11,49,18,.724,,0.707025
11,49,18,.704,,11,49,19,.724,,0.696829
11,49,19,.705,,11,49,20,.724,,0.696829
11,49,20,.704,,11,49,21,.724,,0.686633
11,49,21,.705,,11,49,22,.724,,0.676437
11,49,22,.704,,11,49,23,.724,,0.676437
11,49,23,.704,,11,49,24,.724,,0.666242
11,49,24,.704,,11,49,25,.724,,0.656046
11,49,25,.704,,11,49,26,.724,,0.645850
11,49,26,.704,,11,49,27,.724,,0.645850
11,49,27,.703,,11,49,28,.724,,0.625458
11,49,28,.704,,11,49,29,.724,,0.625458
11,49,29,.705,,11,49,30,.724,,0.615262
11,49,30,.705,,11,49,31,.724,,0.615262
11,49,31,.704,,11,49,32,.724,,0.605066
11,49,32,.704,,11,49,33,.724,,0.605066
11,49,33,.705,,11,49,34,.724,,0.584674
11,49,34,.704,,11,49,35,.724,,0.584674
11,49,35,.704,,11,49,36,.724,,0.574478
11,49,36,.704,,11,49,37,.724,,0.564282
11,49,37,.705,,11,49,38,.724,,0.564282
11,49,38,.705,,11,49,39,.724,,0.554086
11,49,39,.705,,11,49,40,.724,,0.543890
11,49,40,.704,,11,49,41,.724,,0.543890
11,49,41,.704,,11,49,42,.724,,0.533694
11,49,42,.705,,11,49,43,.724,,0.533694
11,49,43,.705,,11,49,44,.724,,0.523498
11,49,44,.704,,11,49,45,.724,,0.513302
11,49,45,.705,,11,49,46,.724,,0.503107
11,49,46,.705,,11,49,47,.724,,0.503107
11,49,47,.705,,11,49,48,.724,,0.492911
11,49,48,.704,,11,49,49,.724,,0.492911
11,49,49,.704,,11,49,50,.724,,0.482715
11,49,50,.704,,11,49,51,.724,,0.482715
11,49,51,.704,,11,49,52,.724,,0.462323
11,49,52,.704,,11,49,53,.724,,0.462323
11,49,53,.705,,11,49,54,.724,,0.462323
11,49,54,.704,,11,49,55,.724,,0.462323
11,49,55,.705,,11,49,56,.724,,0.441931
11,49,56,.705,,11,49,57,.724,,0.431735
11,49,57,.704,,11,49,58,.724,,0.431735
11,49,58,.704,,11,49,59,.724,,0.421539
11,49,59,.704,,11,50,00,.724,,0.421539
11,50,00,.704,,11,50,01,.724,,0.421539
11,50,01,.704,,11,50,02,.724,,0.411343
11,50,02,.705,,11,50,03,.724,,0.401147
11,50,03,.705,,11,50,04,.724,,0.401147
11,50,04,.706,,11,50,05,.724,,0.390951
11,50,05,.705,,11,50,06,.724,,0.380755
11,50,06,.705,,11,50,07,.724,,0.380755
11,50,07,.705,,11,50,08,.724,,0.370559
11,50,08,.704,,11,50,09,.724,,0.370559
11,50,09,.704,,11,50,10,.724,,0.360363
11,50,10,.704,,11,50,11,.724,,0.360363
11,50,11,.705,,11,50,12,.724,,0.350167
11,50,12,.704,,11,50,13,.724,,0.339971
11,50,13,.704,,11,50,14,.724,,0.339971
11,50,14,.704,,11,50,15,.724,,0.339971
11,50,15,.704,,11,50,16,.724,,0.329776
11,50,16,.704,,11,50,17,.724,,0.329776
11,50,17,.704,,11,50,18,.724,,0.319580
11,50,18,.704,,11,50,19,.724,,0.319580
11,50,19,.705,,11,50,20,.724,,0.309384
11,50,20,.704,,11,50,21,.724,,0.299188
11,50,21,.704,,11,50,22,.724,,0.299188
11,50,22,.705,,11,50,23,.724,,0.299188
11,50,23,.705,,11,50,24,.724,,0.299188
11,50,24,.705,,11,50,25,.724,,0.288992
11,50,25,.705,,11,50,26,.724,,0.288992
11,50,26,.705,,11,50,27,.724,,0.278796
11,50,27,.704,,11,50,28,.724,,0.268600
11,50,28,.705,,11,50,29,.724,,0.258404
11,50,29,.705,,11,50,30,.724,,0.258404
11,50,30,.704,,11,50,31,.724,,0.258404
11,50,31,.704,,11,50,32,.724,,0.258404
11,50,32,.704,,11,50,33,.724,,0.248208
11,50,33,.704,,11,50,34,.724,,0.248208
11,50,34,.705,,11,50,35,.724,,0.238012
11,50,35,.705,,11,50,36,.724,,0.238012
11,50,36,.705,,11,50,37,.724,,0.238012
11,50,37,.704,,11,50,38,.724,,0.227816
11,50,38,.704,,11,50,39,.724,,0.217620
11,50,39,.706,,11,50,40,.724,,0.217620
11,50,40,.705,,11,50,41,.724,,0.207424
11,50,41,.706,,11,50,42,.724,,0.207424
11,50,42,.705,,11,50,43,.724,,0.207424
